snapshot_minute,n_matches,inplay_rps,frozen_rps,rps_improvement,inplay_log_loss,frozen_log_loss,inplay_accuracy,frozen_accuracy,inplay_mae,frozen_mae,mae_improvement
5,33,0.1873294907131932,0.17315662281181732,-0.014172867901375868,0.9521090850093873,0.8892556634953006,0.5151515151515151,0.6363636363636364,1.6027654645491742,1.5660071723770912,-0.03675829217208304
10,33,0.18734413620483922,0.17315662281181732,-0.014187513393021906,0.9680428214480407,0.8892556634953006,0.5454545454545454,0.6363636363636364,1.6155137934873136,1.5660071723770912,-0.049506621110222415
15,33,0.17587257022633637,0.17315662281181732,-0.0027159474145190543,0.9276811895221287,0.8892556634953006,0.6060606060606061,0.6363636363636364,1.563245631487664,1.5660071723770912,0.002761540889427261
20,33,0.1762560574112634,0.17315662281181732,-0.003099434599446088,0.9312722516666345,0.8892556634953006,0.6060606060606061,0.6363636363636364,1.5572640395732,1.5660071723770912,0.008743132803891163
25,33,0.17881964045502438,0.17315662281181732,-0.005663017643207063,1.0108379134921575,0.8892556634953006,0.6060606060606061,0.6363636363636364,1.5417033673270182,1.5660071723770912,0.024303805050073013
30,33,0.16363849336029498,0.17315662281181732,0.009518129451522334,1.0045875938384174,0.8892556634953006,0.6666666666666666,0.6363636363636364,1.5283196472964773,1.5660071723770912,0.037687525080613904
35,33,0.16086748044215773,0.17315662281181732,0.012289142369659584,1.0230522102579562,0.8892556634953006,0.696969696969697,0.6363636363636364,1.4790919890280148,1.5660071723770912,0.08691518334907644
40,33,0.16112851615836676,0.17315662281181732,0.012028106653450554,0.9750605989296494,0.8892556634953006,0.696969696969697,0.6363636363636364,1.4416518513151009,1.5660071723770912,0.12435532106199032
45,33,0.1665235016330113,0.17315662281181732,0.006633121178806017,0.9964549112571505,0.8892556634953006,0.6666666666666666,0.6363636363636364,1.379737320829545,1.5660071723770912,0.18626985154754627
50,33,0.16647754510615254,0.17315662281181732,0.006679077705664782,0.9988091244937712,0.8892556634953006,0.6363636363636364,0.6363636363636364,1.351433710740188,1.5660071723770912,0.21457346163690327
55,33,0.1660618487306244,0.17315662281181732,0.007094774081192912,1.0020131174963107,0.8892556634953006,0.6666666666666666,0.6363636363636364,1.3050053668333463,1.5660071723770912,0.26100180554374486
60,33,0.13675997825229333,0.17315662281181732,0.03639664455952399,0.8759889590594632,0.8892556634953006,0.7272727272727273,0.6363636363636364,1.1940383107495818,1.5660071723770912,0.3719688616275094
65,33,0.13871492990483555,0.17315662281181732,0.03444169290698176,0.7922403332241893,0.8892556634953006,0.6666666666666666,0.6363636363636364,1.144104675529531,1.5660071723770912,0.4219024968475602
70,33,0.13240507452576034,0.17315662281181732,0.04075154828605698,0.7631170092689448,0.8892556634953006,0.6666666666666666,0.6363636363636364,1.1242663014071825,1.5660071723770912,0.44174087096990866
75,33,0.13831891385221015,0.17315662281181732,0.034837708959607167,0.7912882565653865,0.8892556634953006,0.6060606060606061,0.6363636363636364,1.0944697335178561,1.5660071723770912,0.47153743885923505
80,33,0.13261059647752496,0.17315662281181732,0.04054602633429236,0.7267228946193683,0.8892556634953006,0.6060606060606061,0.6363636363636364,1.072149758081675,1.5660071723770912,0.4938574142954162
85,33,0.11647121736997948,0.17315662281181732,0.05668540544183784,0.6548191888276403,0.8892556634953006,0.6363636363636364,0.6363636363636364,0.998590450637941,1.5660071723770912,0.5674167217391501
90,33,0.10031782966407676,0.17315662281181732,0.07283879314774055,0.564385533930718,0.8892556634953006,0.696969696969697,0.6363636363636364,0.9049168001443,1.5660071723770912,0.6610903722327912
