update_every_matches,n_predictions,accuracy,balanced_accuracy,rps,log_loss,ece,mae,rmse,correlation
4,30,0.7,0.6041666666666666,0.13638097465039686,0.7347040928578886,0.08337925212331473,1.3977210192971228,1.7604786671822545,0.6314692094964927
2,30,0.7,0.6041666666666666,0.1383258538409439,0.7421356712102439,0.05168577565140641,1.4083618708647763,1.76218926751274,0.6298545581464808
1,30,0.7,0.6041666666666666,0.13910747686567432,0.747113057998331,0.09568913699459931,1.418371814763366,1.7744611017377028,0.6235595682082515
never,30,0.7,0.6041666666666666,0.1412888774476416,0.7590339557066301,0.13050338378350512,1.333218374880104,1.66025693323051,0.6921368215193316
