match_id,match_order,snapshot_minute,actual_outcome,actual_margin,p_H,p_D,p_A,pred_margin,frozen_p_H,frozen_p_D,frozen_p_A,frozen_margin
3773593,1,5,H,4.0,0.878296076227764,0.11240169007494381,0.009302233697292205,1.361927189866801,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,10,H,4.0,0.8762439691308518,0.11481652849714971,0.008939502371998594,1.36885310259217,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,15,H,4.0,0.9473798450155803,0.051434016279229056,0.0011861387051907018,1.4487628731127704,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,20,H,4.0,0.9778535827947803,0.02199616937723644,0.00015024782798335164,1.7206410421006857,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,25,H,4.0,0.977345689935063,0.02250965802191976,0.00014465204301720923,1.7744044228557008,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,30,H,4.0,0.9768258902873126,0.023034846782023433,0.00013926293066391716,1.8266793246111344,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,35,H,4.0,0.9903069175339225,0.009675755951205806,1.7326514871781945e-05,2.353490517217039,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,40,H,4.0,0.9900788190403971,0.009904494923793826,1.6686035809151887e-05,2.440390871610085,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,45,H,4.0,0.9958702012766206,0.004127738998695504,2.0597246838053215e-06,3.0218923880934327,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,50,H,4.0,0.9957721383677824,0.0042258777841655114,1.9838480520355464e-06,3.123632527947376,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,55,H,4.0,0.9956717495245474,0.004326339713352961,1.910762099662207e-06,3.214799769437879,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,60,H,4.0,0.9955689803434108,0.004429179292337764,1.8403642513566343e-06,3.293887068800616,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,65,H,4.0,0.995463775161719,0.004534452282579682,1.772555701211617e-06,3.3594768247961,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,70,H,4.0,0.9953560770300238,0.004642215728701988,1.7072412742371203e-06,3.4102816580504087,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,75,H,4.0,0.9952458276838718,0.004752527986835193,1.6443292929449773e-06,3.445183620605675,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,80,H,4.0,0.9951329675150219,0.004865448753529204,1.583731448835484e-06,3.4632702376059057,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,85,H,4.0,0.9950174355420787,0.00498103909524268,1.5253626786058814e-06,3.4638658636504474,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
3773593,1,90,H,4.0,0.9948991693805371,0.0050993614784178454,1.4691410449072005e-06,3.4465569955873767,0.7935912144282407,0.18576451616296624,0.02064426940879305,1.3768378370948555
