season,n_matches,coverage,accuracy,balanced_accuracy,rps,log_loss
2017/2018,17,1.0,0.6470588235294118,0.6666666666666666,0.1130661542226121,0.8008540723147874
2018/2019,31,1.0,0.6774193548387096,0.6076923076923078,0.14607218268888164,0.8394730732406298
2019/2020,30,1.0,0.7333333333333333,0.625,0.12437995502139348,0.7045772627304759
2020/2021,33,1.0,0.6363636363636364,0.5183150183150184,0.18475353586918175,0.913173212911799
