match_id,match_date,home_team,away_team,home_key,away_key,reason
303493,2020-06-23,Barcelona,Athletic Club,barcelona,athleticclub,No pre-match identity match in odds source (including fuzzy)
303516,2020-06-27,Celta Vigo,Barcelona,celtavigo,barcelona,No pre-match identity match in odds source (including fuzzy)
303696,2020-06-30,Barcelona,Atlético Madrid,barcelona,atleticomadrid,No pre-match identity match in odds source (including fuzzy)
303725,2020-07-05,Villarreal,Barcelona,villareal,barcelona,No pre-match identity match in odds source (including fuzzy)
303615,2020-07-08,Barcelona,Espanyol,barcelona,espanyol,No pre-match identity match in odds source (including fuzzy)
303680,2020-07-11,Real Valladolid,Barcelona,realvalladolid,barcelona,No pre-match identity match in odds source (including fuzzy)
303634,2020-07-16,Barcelona,Osasuna,barcelona,osasuna,No pre-match identity match in odds source (including fuzzy)
303421,2020-07-19,Deportivo Alavés,Barcelona,deportivoalaves,barcelona,No pre-match identity match in odds source (including fuzzy)
3773593,2020-09-27,Barcelona,Villarreal,barcelona,villareal,No pre-match identity match in odds source (including fuzzy)
3773466,2020-10-01,Celta Vigo,Barcelona,celtavigo,barcelona,No pre-match identity match in odds source (including fuzzy)
3773672,2020-10-04,Barcelona,Sevilla,barcelona,sevilla,No pre-match identity match in odds source (including fuzzy)
3773587,2020-10-17,Getafe,Barcelona,getafe,barcelona,No pre-match identity match in odds source (including fuzzy)
3773585,2020-10-24,Barcelona,Real Madrid,barcelona,realmadrid,No pre-match identity match in odds source (including fuzzy)
3773386,2020-10-31,Deportivo Alavés,Barcelona,deportivoalaves,barcelona,No pre-match identity match in odds source (including fuzzy)
3773477,2020-11-07,Barcelona,Real Betis,barcelona,betis,No pre-match identity match in odds source (including fuzzy)
3773656,2020-11-21,Atlético Madrid,Barcelona,atleticomadrid,barcelona,No pre-match identity match in odds source (including fuzzy)
3773547,2020-11-29,Barcelona,Osasuna,barcelona,osasuna,No pre-match identity match in odds source (including fuzzy)
3773428,2020-12-05,Cádiz,Barcelona,cadiz,barcelona,No pre-match identity match in odds source (including fuzzy)
3773660,2020-12-13,Barcelona,Levante UD,barcelona,levanteud,No pre-match identity match in odds source (including fuzzy)
3773523,2020-12-16,Barcelona,Real Sociedad,barcelona,realsociedad,No pre-match identity match in odds source (including fuzzy)
3773377,2020-12-19,Barcelona,Valencia,barcelona,valencia,No pre-match identity match in odds source (including fuzzy)
3773571,2020-12-22,Real Valladolid,Barcelona,realvalladolid,barcelona,No pre-match identity match in odds source (including fuzzy)
3773552,2021-01-03,Huesca,Barcelona,huesca,barcelona,No pre-match identity match in odds source (including fuzzy)
3764661,2021-01-06,Athletic Club,Barcelona,athleticclub,barcelona,No pre-match identity match in odds source (including fuzzy)
3773565,2021-01-09,Granada,Barcelona,granada,barcelona,No pre-match identity match in odds source (including fuzzy)
3773403,2021-01-31,Barcelona,Athletic Club,barcelona,athleticclub,No pre-match identity match in odds source (including fuzzy)
3773631,2021-02-07,Real Betis,Barcelona,betis,barcelona,No pre-match identity match in odds source (including fuzzy)
3773526,2021-02-13,Barcelona,Deportivo Alavés,barcelona,deportivoalaves,No pre-match identity match in odds source (including fuzzy)
3773415,2021-02-21,Barcelona,Cádiz,barcelona,cadiz,No pre-match identity match in odds source (including fuzzy)
3764440,2021-02-24,Barcelona,Elche,barcelona,elche,No pre-match identity match in odds source (including fuzzy)
3773625,2021-02-27,Sevilla,Barcelona,sevilla,barcelona,No pre-match identity match in odds source (including fuzzy)
3773665,2021-03-06,Osasuna,Barcelona,osasuna,barcelona,No pre-match identity match in odds source (including fuzzy)
3773369,2021-03-15,Barcelona,Huesca,barcelona,huesca,No pre-match identity match in odds source (including fuzzy)
3773597,2021-03-21,Real Sociedad,Barcelona,realsociedad,barcelona,No pre-match identity match in odds source (including fuzzy)
3773474,2021-04-05,Barcelona,Real Valladolid,barcelona,realvalladolid,No pre-match identity match in odds source (including fuzzy)
3773497,2021-04-10,Real Madrid,Barcelona,realmadrid,barcelona,No pre-match identity match in odds source (including fuzzy)
3773661,2021-04-22,Barcelona,Getafe,barcelona,getafe,No pre-match identity match in odds source (including fuzzy)
3773689,2021-04-25,Villarreal,Barcelona,villareal,barcelona,No pre-match identity match in odds source (including fuzzy)
3773586,2021-04-29,Barcelona,Granada,barcelona,granada,No pre-match identity match in odds source (including fuzzy)
3773695,2021-05-02,Valencia,Barcelona,valencia,barcelona,No pre-match identity match in odds source (including fuzzy)
3773372,2021-05-08,Barcelona,Atlético Madrid,barcelona,atleticomadrid,No pre-match identity match in odds source (including fuzzy)
3773387,2021-05-11,Levante UD,Barcelona,levanteud,barcelona,No pre-match identity match in odds source (including fuzzy)
3773457,2021-05-16,Barcelona,Celta Vigo,barcelona,celtavigo,No pre-match identity match in odds source (including fuzzy)
