phase,n,ECE,mean_confidence,accuracy
0-15,62,0.11264518076486303,0.5671109720076495,0.5161290322580645
15-30,93,0.139545043052864,0.5687278683434305,0.5161290322580645
30-45,93,0.14039671503359957,0.5696900622234414,0.5161290322580645
45-60,93,0.13964319806241227,0.5691139123109027,0.5161290322580645
60-75,93,0.13931681032204923,0.5687827408669438,0.5161290322580645
75-90,124,0.1397209513543594,0.5690240657711371,0.5161290322580645
