stage,ECE,bin_lo,bin_hi,n,accuracy,confidence
before,0.18061478067929682,0.4,0.5,4,0.5,0.4781726190476191
before,0.18061478067929682,0.5,0.6000000000000001,15,0.7333333333333333,0.5605086419753086
before,0.18061478067929682,0.6000000000000001,0.7000000000000001,6,0.6666666666666666,0.6286128747795414
before,0.18061478067929682,0.7000000000000001,0.8,5,0.4,0.7754444444444444
before,0.18061478067929682,0.8,0.9,1,0.0,0.8138333333333333
after,0.2210396311596015,0.30000000000000004,0.4,7,0.5714285714285714,0.397195035476793
after,0.2210396311596015,0.4,0.5,8,0.125,0.4041660198234039
after,0.2210396311596015,0.5,0.6000000000000001,16,0.75,0.5375458965188771
