phase,n,ECE,mean_confidence,accuracy
0-15,66,0.1751064222719252,0.6411098028795438,0.6060606060606061
15-30,99,0.1748318454787429,0.6418638505490775,0.6060606060606061
30-45,99,0.1748186454963847,0.6420313060145282,0.6060606060606061
45-60,99,0.17469031905409338,0.6423085698665861,0.6060606060606061
60-75,99,0.17505593597204466,0.6423975062509459,0.6060606060606061
75-90,132,0.17488423372498083,0.6423944632435137,0.6060606060606061
