request,match_id,snapshot_minute,latency_ms,ok,status_code
1,3773625,90,10.6395,True,200
2,3773665,0,9.8406,True,200
3,3773369,15,8.6812,True,200
4,3773597,30,11.1873,True,200
5,3773474,45,14.2369,True,200
6,3773497,60,13.9722,True,200
7,3773661,75,13.2153,True,200
8,3773689,90,13.8611,True,200
9,3773586,0,13.5365,True,200
10,3773695,15,15.0441,True,200
11,3773372,30,10.2997,True,200
12,3773387,45,9.2315,True,200
13,3773457,60,11.7602,True,200
14,3773593,75,14.0957,True,200
15,3773466,90,10.0706,True,200
16,3773672,0,11.655,True,200
17,3773587,15,12.0982,True,200
18,3773585,30,13.8546,True,200
19,3773386,45,13.8217,True,200
20,3773477,60,15.3991,True,200
21,3773656,75,15.6619,True,200
22,3773547,90,14.4949,True,200
23,3773660,0,13.7585,True,200
24,3773523,15,12.2543,True,200
25,3773377,30,8.4078,True,200
26,3773571,45,8.7559,True,200
27,3773552,60,10.4139,True,200
28,3764661,75,12.0731,True,200
29,3773565,90,15.3505,True,200
30,3773403,0,12.7051,True,200
31,3773631,15,14.8952,True,200
32,3773526,30,14.48,True,200
33,3773415,45,11.5208,True,200
34,3773625,60,14.4658,True,200
35,3773665,75,13.0471,True,200
36,3773369,90,13.2579,True,200
37,3773597,0,12.7823,True,200
38,3773474,15,12.9444,True,200
39,3773497,30,14.4099,True,200
40,3773661,45,10.6387,True,200
41,3773689,60,11.8213,True,200
42,3773586,75,10.2894,True,200
43,3773695,90,11.7884,True,200
44,3773372,0,9.3886,True,200
45,3773387,15,9.7068,True,200
46,3773457,30,11.1362,True,200
47,3773593,45,11.1244,True,200
48,3773466,60,12.7267,True,200
49,3773672,75,13.4194,True,200
50,3773587,90,9.7581,True,200
51,3773585,0,11.3169,True,200
52,3773386,15,11.9003,True,200
53,3773477,30,9.5064,True,200
54,3773656,45,9.1561,True,200
55,3773547,60,10.6449,True,200
56,3773660,75,8.6662,True,200
57,3773523,90,10.9297,True,200
58,3773377,0,8.0381,True,200
59,3773571,15,9.8201,True,200
60,3773552,30,8.2747,True,200
61,3764661,45,9.8815,True,200
62,3773565,60,12.1693,True,200
63,3773403,75,12.1936,True,200
64,3773631,90,9.8603,True,200
65,3773526,0,9.4704,True,200
66,3773415,15,8.279,True,200
67,3773625,30,12.5435,True,200
68,3773665,45,13.673,True,200
69,3773369,60,11.1325,True,200
70,3773597,75,11.2723,True,200
71,3773474,90,11.6619,True,200
72,3773497,0,8.6973,True,200
73,3773661,15,12.9011,True,200
74,3773689,30,12.8703,True,200
75,3773586,45,11.3484,True,200
76,3773695,60,9.9446,True,200
77,3773372,75,12.3698,True,200
78,3773387,90,11.2498,True,200
79,3773457,0,10.0542,True,200
80,3773593,15,14.3976,True,200
81,3773466,30,11.9648,True,200
82,3773672,45,12.0852,True,200
83,3773587,60,11.9233,True,200
84,3773585,75,15.3171,True,200
85,3773386,90,15.6304,True,200
86,3773477,0,10.7348,True,200
87,3773656,15,11.5828,True,200
88,3773547,30,12.3534,True,200
89,3773660,45,12.3954,True,200
90,3773523,60,11.1783,True,200
91,3773377,75,10.3106,True,200
92,3773571,90,11.342,True,200
93,3773552,0,10.5942,True,200
94,3764661,15,11.0733,True,200
95,3773565,30,13.9733,True,200
96,3773403,45,13.1128,True,200
97,3773631,60,12.7097,True,200
98,3773526,75,11.8998,True,200
99,3773415,90,11.1926,True,200
100,3773625,0,11.4063,True,200
101,3773665,15,9.0196,True,200
102,3773369,30,12.2594,True,200
103,3773597,45,9.0837,True,200
104,3773474,60,10.0258,True,200
105,3773497,75,9.9531,True,200
106,3773661,90,8.976,True,200
107,3773689,0,12.2862,True,200
108,3773586,15,14.1971,True,200
