task,model,calibration,train_seconds,peak_memory_mb,accuracy,balanced_accuracy,macro_f1,mcc,log_loss,brier,rps,ece,precision_H,recall_H,f1_H,precision_D,recall_D,f1_D,precision_A,recall_A,f1_A,mae,rmse,r2,corr
C,DummyPrior,none,0.00018010000349022448,,0.3939393939393939,0.3333333333333333,0.18840579710144925,0.0,1.1010036911166043,0.6763636363636365,0.26363636363636367,0.1393939393939394,0.3939393939393939,1.0,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,,,,
C,SVC,none,0.0,0.0,0.6060606060606061,0.5616605616605617,0.5707070707070706,0.4073536157148497,0.8936956426588722,0.5085156266503018,0.18801052104805052,0.09301441667431123,0.5217391304347826,0.9230769230769231,0.6666666666666666,1.0,0.3333333333333333,0.5,0.75,0.42857142857142855,0.5454545454545454,,,,
C,SVC,sigmoid,0.01373809999495279,,0.6363636363636364,0.521978021978022,0.46606334841628955,0.42794805161809174,0.8991633605531152,0.5235020446008347,0.19158275285534657,0.10214407443529332,0.5714285714285714,0.9230769230769231,0.7058823529411765,0.0,0.0,0.0,0.75,0.6428571428571429,0.6923076923076923,,,,
C,SVC,isotonic,0.012431600000127219,,0.6666666666666666,0.5775335775335776,0.5657575757575758,0.4816011148706275,3.8753890542509017,0.5252394533468383,0.19464354685652865,0.19074077544830798,0.6,0.9230769230769231,0.7272727272727273,0.5,0.16666666666666666,0.25,0.8181818181818182,0.6428571428571429,0.72,,,,
C,RandomForest,none,0.0,0.0,0.5757575757575758,0.47069597069597074,0.4521072796934866,0.3190052873935053,0.9780660621519546,0.5480801225469435,0.19120326367553922,0.11193450941512446,0.625,0.7692307692307693,0.6896551724137931,0.0,0.0,0.0,0.6923076923076923,0.6428571428571429,0.6666666666666666,,,,
C,RandomForest,sigmoid,0.2801508999982616,,0.6363636363636364,0.5201465201465202,0.4672619047619048,0.41322822085492716,0.9523051200646937,0.5611138004442022,0.20349789492209602,0.1597589654551355,0.5789473684210527,0.8461538461538461,0.6875,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,,
C,RandomForest,isotonic,0.2875729000006686,,0.5757575757575758,0.47252747252747246,0.4342948717948718,0.31660792375701174,3.9898540168498573,0.6083475605809903,0.22561319802822818,0.1826548567402401,0.5789473684210527,0.8461538461538461,0.6875,0.0,0.0,0.0,0.6666666666666666,0.5714285714285714,0.6153846153846154,,,,
C,GBM,none,0.0,0.0,0.6363636363636364,0.5873015873015873,0.5740740740740741,0.48377114164410395,0.8279768221175795,0.47814969033135757,0.1614762751738161,0.1770549284759165,0.5652173913043478,1.0,0.7222222222222222,0.5,0.3333333333333333,0.4,1.0,0.42857142857142855,0.6,,,,
C,GBM,sigmoid,0.4226198999967892,,0.6060606060606061,0.49633699633699635,0.45138888888888884,0.36313758374228017,0.8954758543967775,0.5243111416496211,0.184529320746469,0.08326980012307934,0.5789473684210527,0.8461538461538461,0.6875,0.0,0.0,0.0,0.6923076923076923,0.6428571428571429,0.6666666666666666,,,,
C,GBM,isotonic,0.41541890000371495,,0.48484848484848486,0.42735042735042733,0.4362393162393163,0.2148426527036528,0.8869478363333552,0.5189062770230456,0.17182114986173488,0.2679419634064986,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.1111111111111111,0.16666666666666666,0.13333333333333333,0.6363636363636364,0.5,0.56,,,,
