phase,n,ECE,mean_confidence,accuracy
0-15,60,0.08539607036406748,0.6225344171902524,0.6333333333333333
15-30,90,0.06452127976738062,0.6237688772195802,0.6666666666666666
30-45,90,0.06471709195084441,0.6238724736445743,0.6666666666666666
45-60,90,0.05433889809269701,0.6238021147833367,0.6444444444444445
60-75,90,0.07731242082746598,0.6243426631505802,0.6333333333333333
75-90,120,0.10315063724274572,0.6245167159639327,0.6666666666666666
