feature,mean_abs_shap
away_form_5_set_pieces_for,0.28953508
away_score,0.2089631
away_form_5_completed_passes_against,0.14453411
diff_form_5_defensive_actions_for,0.12635389
away_form_5_pressures_against,0.11601407
home_form_5_pressures_for,0.10404534
home_form_5_goals_against,0.1014719
away_form_5_yellow_cards_against,0.08622073
away_form_5_defensive_actions_against,0.06993874
away_form_5_passes_against,0.0673907
home_form_5_xg_for,0.057429235
diff_form_5_pressures_for,0.05493645
away_form_5_carries_final_third_against,0.054766025
diff_form_5_yellow_cards_against,0.051109564
home_form_5_carries_final_third_against,0.049932294
home_form_5_defensive_actions_for,0.048317406
diff_form_5_pressures_against,0.04781661
home_shot_conv_5,0.045510806
home_form_5_shots_for,0.03948116
home_form_5_defensive_actions_against,0.039178442
away_form_5_xg_for,0.037849564
away_form_5_defensive_actions_for,0.034646843
home_form_5_carries_final_third_for,0.031459186
away_form_5_passes_for,0.030592361
home_form_5_passes_against,0.028986424
away_form_5_shots_against,0.027703302
diff_form_5_goals_against,0.027382972
diff_form_5_xg_for,0.022580173
home_form_5_goals_for,0.021902736
away_matches_played_before,0.021767322
diff_form_5_yellow_cards_for,0.018082574
away_form_5_xg_against,0.012853286
home_score,0.012837539
home_form_5_passes_for,0.012602913
away_form_5_event_share_for,0.012444757
away_form_5_shots_for,0.012388167
away_form_5_yellow_cards_for,0.0114521785
home_form_5_yellow_cards_against,0.010931874
away_form_5_red_cards_for,0.0108307805
away_form_5_pressures_for,0.009241608
away_rest_days,0.009098639
away_form_5_goals_for,0.008903255
home_momentum_xg_for,0.008818831
away_momentum_xg_for,0.008574239
diff_form_5_passes_for,0.008514557
diff_form_5_red_cards_for,0.007894224
home_rest_days,0.0077508
away_form5_xg_for,0.007690138
away_form3_goals_against,0.007677342
home_form_5_pressures_against,0.006759766
away_form_5_red_cards_against,0.0062349644
away_shot_conv_5,0.0059832116
away_form_5_carries_final_third_for,0.0058174087
away_form_5_goals_against,0.00556365
diff_form_5_set_pieces_against,0.0051127095
diff_form_5_carries_final_third_against,0.004810103
home_pressure_rate_5,0.004805404
home_form_5_set_pieces_for,0.0047907103
home_form_5_shots_against,0.0044156024
home_form_5_xg_against,0.0043767146
diff_form_5_xg_against,0.0040741237
home_form_5_set_pieces_against,0.004034798
diff_form_5_completed_passes_for,0.0035307421
away_form_5_points,0.0032973143
home_form_5_yellow_cards_for,0.0032277713
home_form_5_points,0.0031689568
home_team_id,0.0029782918
home_form5_xg_for,0.0028318998
home_form_5_red_cards_against,0.002593177
home_form_5_shot_goals_against,0.0025028195
away_form_5_completed_passes_for,0.002264125
diff_form_5_shot_goals_against,0.001917503
diff_form_5_shots_against,0.0018472648
away_set_piece_share_5,0.0018100413
diff_form_5_passes_against,0.00176136
diff_form_5_goals_for,0.0016536502
diff_form_5_set_pieces_for,0.0015470665
diff_form_5_completed_passes_against,0.0015066597
home_set_piece_share_5,0.0014268359
away_form_5_shot_goals_for,0.0013683737
diff_form_5_points,0.001334666
away_team_id,0.0013238278
home_possession_share_5,0.0012942454
home_form3_goals_for,0.0011519958
home_momentum_points,0.0011319438
diff_form_5_red_cards_against,0.0011215509
away_pressure_rate_5,0.0010837358
diff_form_5_shot_goals_for,0.0010651108
diff_form_5_shots_for,0.0010115124
diff_form_5_carries_final_third_for,0.00097172987
home_form_5_red_cards_for,0.0008785977
competition_id,0.0
season_id,0.0
home_form_5_shot_goals_for,0.0
home_form_5_completed_passes_against,0.0
home_form_5_event_share_for,0.0
home_form_5_event_share_against,0.0
home_matches_played_before,0.0
away_form_5_shot_goals_against,0.0
home_away_win_rate_5,0.0
home_home_win_rate_5,0.0
home_form5_goals_against,0.0
home_form5_points,0.0
home_form5_shots_for,0.0
home_momentum_goals_for,0.0
home_form3_goals_against,0.0
home_form5_goals_for,0.0
home_form3_points,0.0
home_form_5_completed_passes_for,0.0
away_form5_goals_for,0.0
away_form_5_set_pieces_against,0.0
away_form5_goals_against,0.0
away_form_5_event_share_against,0.0
away_form5_points,0.0
away_away_win_rate_5,0.0
away_home_win_rate_5,0.0
away_momentum_goals_for,0.0
away_possession_share_5,0.0
away_form5_shots_for,0.0
away_form3_points,0.0
away_form3_goals_for,0.0
away_momentum_points,0.0
diff_form_5_defensive_actions_against,0.0
diff_form_5_event_share_for,0.0
diff_form_5_event_share_against,0.0
season_idx,0.0
odds_tagged,0.0
market_p_H,0.0
market_p_D,0.0
market_p_A,0.0
