feature,mean_abs_shap
away_form_5_completed_passes_against,0.015670877896727164
home_matches_played_before,0.014603898166237715
away_set_piece_share_5,0.01113580458455079
away_form_5_event_share_against,0.010676518360997821
home_form5_xg_for,0.009425740525239139
away_form_5_passes_against,0.008803903537451795
away_form5_xg_for,0.008507271327066355
home_form_5_xg_for,0.008315587417811403
diff_form_5_defensive_actions_for,0.008287145819833048
away_form_5_event_share_for,0.007750567459565849
home_form_5_shot_goals_against,0.007730528648175654
away_score,0.00737839916706232
away_form_5_set_pieces_against,0.007362327244872762
diff_form_5_shot_goals_against,0.00703997157329834
home_form_5_goals_for,0.006702704923732404
diff_form_5_pressures_against,0.006452470311627616
home_form_5_goals_against,0.006380891225200022
diff_form_5_xg_for,0.006343490017754446
away_possession_share_5,0.006081885587393443
home_form_5_defensive_actions_against,0.005973484781755473
diff_form_5_defensive_actions_against,0.005932374133064181
away_form_5_passes_for,0.005805478667840369
home_momentum_xg_for,0.00575417105753008
home_form5_goals_against,0.005743077489066592
away_form_5_shots_against,0.005671297594384243
diff_form_5_goals_against,0.005621944012755164
diff_form_5_yellow_cards_against,0.005469011505301111
home_form_5_carries_final_third_for,0.005068157918698971
home_form_5_defensive_actions_for,0.004848329682401175
away_form_5_set_pieces_for,0.004815236864495318
home_rest_days,0.004765724106015139
away_form_5_completed_passes_for,0.004451309772530978
diff_form_5_points,0.004346436516014873
home_form_5_set_pieces_against,0.004249976213495028
diff_form_5_goals_for,0.004175559224922896
diff_form_5_xg_against,0.004142345769360292
home_form_5_carries_final_third_against,0.004004653651420048
home_pressure_rate_5,0.003988474473042121
home_possession_share_5,0.003697459014604343
away_form_5_pressures_against,0.0036092406064408217
away_matches_played_before,0.0035976366213453545
home_form_5_shots_for,0.003520085271803571
home_form_5_shots_against,0.003485316709603378
away_momentum_xg_for,0.0033391201996004764
diff_form_5_passes_for,0.0033307833158286552
away_form_5_yellow_cards_for,0.003210126032155438
away_form_5_red_cards_against,0.003172042969957289
home_form5_points,0.0031106993801587597
home_momentum_goals_for,0.0030548066448306704
away_form5_points,0.003042756865905015
away_form_5_xg_for,0.002969801617471869
away_form_5_yellow_cards_against,0.002913576792180115
diff_form_5_completed_passes_against,0.002725913445741682
away_form_5_defensive_actions_for,0.0026459254465428478
home_momentum_points,0.0025386576391321983
away_form_5_carries_final_third_against,0.002442841128690312
home_form5_shots_for,0.0023354867510461752
home_form_5_pressures_for,0.002217178216964544
home_form_5_completed_passes_for,0.002144212034653743
diff_form_5_completed_passes_for,0.002011988274360894
away_momentum_goals_for,0.0019311735412048559
away_form_5_defensive_actions_against,0.0019145839925915527
diff_form_5_passes_against,0.0019061037738986421
home_form_5_yellow_cards_against,0.001896106343486139
diff_form_5_carries_final_third_against,0.0018296697561034478
home_form_5_event_share_for,0.0017482334079972706
away_home_win_rate_5,0.0017360703812316716
home_away_win_rate_5,0.0017083740090609867
away_form_5_pressures_for,0.0016794225067136947
diff_form_5_set_pieces_for,0.0016501104765687061
home_form_5_passes_against,0.001638810090303519
home_score,0.0016284341542476338
home_form5_goals_for,0.0016044554984074397
away_form_5_goals_against,0.0015933584535735071
away_form5_goals_against,0.0015703909066766988
diff_form_5_pressures_for,0.0015578930691817624
diff_form_5_set_pieces_against,0.0015208737828856678
home_shot_conv_5,0.0014763298086790506
home_form_5_completed_passes_against,0.0014553376906318084
away_form_5_xg_against,0.0014502815397400583
home_form_5_shot_goals_for,0.0014068540486357618
home_form_5_yellow_cards_for,0.0014000819929919698
home_home_win_rate_5,0.001379748155733819
home_form_5_red_cards_against,0.0013521402653720455
home_form_5_pressures_against,0.001337051583938942
away_form_5_red_cards_for,0.0013073434033111452
away_form3_goals_for,0.0012815466754979956
home_form3_goals_against,0.0012795216192672651
home_team_id,0.001248468003117303
home_form_5_event_share_against,0.0012419694613541687
away_pressure_rate_5,0.0012327138189805612
diff_form_5_red_cards_against,0.0012281072610400043
away_away_win_rate_5,0.0012203746651986162
home_form_5_points,0.0011386829326323683
away_shot_conv_5,0.0011375856559603925
home_set_piece_share_5,0.0010806555653939387
away_form3_points,0.0010754155051108456
home_form_5_passes_for,0.0009874520485930287
diff_form_5_event_share_against,0.0009745384593502876
away_form_5_shot_goals_against,0.0009340411719678232
home_form3_points,0.0009166685321758604
away_form_5_shot_goals_for,0.0008928768774534903
away_momentum_points,0.000890205937347986
away_form5_shots_for,0.0008379964836241631
away_rest_days,0.0008256729133073223
diff_form_5_shots_for,0.0008228232499105367
diff_form_5_yellow_cards_for,0.0008190058978589445
diff_form_5_event_share_for,0.0008065418370604962
away_form_5_carries_final_third_for,0.0007892931662346241
away_form_5_goals_for,0.0007548131655061165
home_form_5_set_pieces_for,0.0006506709870509153
diff_form_5_shots_against,0.0005947936080130895
home_form3_goals_for,0.0005799565246249834
home_form_5_xg_against,0.0005611644858106005
away_form_5_shots_for,0.0004444830624042094
home_form_5_red_cards_for,0.0004139325429648011
away_form3_goals_against,0.0004125730156176502
away_form5_goals_for,0.000387376300308328
away_form_5_points,0.0003311650958006992
diff_form_5_carries_final_third_for,0.0003268844935476464
away_team_id,0.000278245764121944
competition_id,0.0
season_id,0.0
diff_form_5_shot_goals_for,0.0
diff_form_5_red_cards_for,0.0
season_idx,0.0
odds_tagged,0.0
market_p_H,0.0
market_p_D,0.0
market_p_A,0.0
